"run_accession","biosample","bioproject","organism","taxid","instrument_model","platform","title"
"SRR5322917","SAMN06455291","PRJNA348753","Bacteroidales bacterium UBA3794",1950519,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3794"
"SRR5322921","SAMN06455785","PRJNA348753","Bacteroidales bacterium UBA3754",1950513,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3754"
"SRR5322922","SAMN06450778","PRJNA348753","Bacteroidales bacterium UBA3743",1950509,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3743"
"SRR5322925","SAMN06450776","PRJNA348753","Bacteroidales bacterium UBA3745",1950510,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3745"
"SRR5322927","SAMN06450774","PRJNA348753","Bacteroidales bacterium UBA3747",1950511,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3747"
"SRR5322928","SAMN06450779","PRJNA348753","Bacteroidales bacterium UBA3742",1950508,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3742"
"SRR5322929","SAMN06450773","PRJNA348753","Bacteroidales bacterium UBA3748",1950512,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3748"
"SRR5322942","SAMN06455784","PRJNA348753","Bacteroidales bacterium UBA3759",1950514,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3759"
"SRR5322949","SAMN06451028","PRJNA348753","Bacteroidales bacterium UBA3763",1950515,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3763"
"SRR5322950","SAMN06451031","PRJNA348753","Bacteroidales bacterium UBA3764",1950516,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3764"
"SRR5322962","SAMN06457855","PRJNA348753","Bacteroidales bacterium UBA3784",1950517,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3784"
"SRR5322964","SAMN06451309","PRJNA348753","Bacteroidales bacterium UBA3831",1950526,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3831"
"SRR5322969","SAMN06452543","PRJNA348753","Bacteroidales bacterium UBA3856",1950531,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3856"
"SRR5324060","SAMN06457359","PRJNA348753","Bacteroidales bacterium UBA2295",1950444,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2295"
"SRR5322972","SAMN06451314","PRJNA348753","Bacteroidales bacterium UBA3834",1950527,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3834"
"SRR5322974","SAMN06453643","PRJNA348753","Bacteroidales bacterium UBA3860",1950532,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3860"
"SRR5322984","SAMN06453649","PRJNA348753","Bacteroidales bacterium UBA3868",1950533,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3868"
"SRR5322993","SAMN06453331","PRJNA348753","Bacteroidales bacterium UBA3842",1950528,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3842"
"SRR5322995","SAMN06453332","PRJNA348753","Bacteroidales bacterium UBA3843",1950529,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3843"
"SRR5322996","SAMN06453333","PRJNA348753","Bacteroidales bacterium UBA3844",1950530,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3844"
"SRR5323016","SAMN06456337","PRJNA348753","Bacteroidales bacterium UBA3824",1950525,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3824"
"SRR5323018","SAMN06456100","PRJNA348753","Bacteroidales bacterium UBA3808",1950521,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3808"
"SRR5323020","SAMN06456101","PRJNA348753","Bacteroidales bacterium UBA3809",1950522,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3809"
"SRR5323021","SAMN06451520","PRJNA348753","Bacteroidales bacterium UBA3810",1950523,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3810"
"SRR5323032","SAMN06451513","PRJNA348753","Bacteroidales bacterium UBA3816",1950524,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3816"
"SRR5323071","SAMN06455892","PRJNA348753","Bacteroidales bacterium UBA6013",1950665,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA6013"
"SRR3226048","SAMN04517352","PRJNA313232","Bacteroidales bacterium GP1",1807745,"Illumina Genome Analyzer II","ILLUMINA","Population genome of Bacteroidales bacterium: Cavia porcellus fecal sample: Sample GP1_S24-7"
"SRR3226049","SAMN04517353","PRJNA313232","Bacteroidales bacterium GP2",1807746,"Illumina Genome Analyzer II","ILLUMINA","Population genome of Bacteroidales bacterium: Cavia porcellus fecal sample: Sample GP2_S24-7"
"SRR3226050","SAMN04517354","PRJNA313232","Bacteroidales bacterium GP3",1807747,"Illumina Genome Analyzer II","ILLUMINA","Population genome of Bacteroidales bacterium: Cavia porcellus fecal sample: Sample GP3_S24-7"
"SRR3226051","SAMN04517355","PRJNA313232","Bacteroidales bacterium GP4",1807748,"Illumina Genome Analyzer II","ILLUMINA","Population genome of Bacteroidales bacterium: Cavia porcellus fecal sample: Sample GP4_S24-7"
"SRR3226052","SAMN04517356","PRJNA313232","Bacteroidales bacterium H1",1807749,"Illumina Genome Analyzer IIx","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H1_S24-7"
"SRR3226053","SAMN04517357","PRJNA313232","Bacteroidales bacterium H2",1807750,"Illumina HiSeq 2000","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H2_S24-7"
"SRR3226054","SAMN04517358","PRJNA313232","Bacteroidales bacterium H3",1807751,"Illumina HiSeq 2000","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H3_S24-7"
"SRR3226055","SAMN04517359","PRJNA313232","Bacteroidales bacterium H4",1807752,"Illumina HiSeq 2000","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H4_S24-7"
"SRR3226056","SAMN04517360","PRJNA313232","Bacteroidales bacterium H5",1807753,"Illumina HiSeq 2000","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H5_S24-7"
"SRR3226057","SAMN04517361","PRJNA313232","Bacteroidales bacterium H6",1807754,"Illumina HiSeq 2000","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H6_S24-7"
"SRR3226058","SAMN04517362","PRJNA313232","Bacteroidales bacterium H7",1807755,"Illumina HiSeq 2000","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H7_S24-7"
"SRR3226059","SAMN04517363","PRJNA313232","Bacteroidales bacterium H8",1807756,"Illumina HiSeq 2000","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H8_S24-7"
"SRR3226060","SAMN04517364","PRJNA313232","Bacteroidales bacterium H9",1807757,"Illumina Genome Analyzer II","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H9_S24-7"
"SRR3226061","SAMN04517365","PRJNA313232","Bacteroidales bacterium H10",1807758,"Illumina Genome Analyzer II","ILLUMINA","Population genome of Bacteroidales bacterium: Homo sapien fecal sample: Sample H10_S24-7"
"SRR4228318","SAMN05216518","PRJNA323322","Bacteroidales bacterium KHT7",1855373,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium KHT7"
"SRR5320876","SAMN06451207","PRJNA348753","Bacteroidales bacterium UBA7705",1950750,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA7705"
"SRR5320894","SAMN06451524","PRJNA348753","Bacteroidales bacterium UBA2817",1950460,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2817"
"SRR5320906","SAMN06451175","PRJNA348753","Bacteroidales bacterium UBA2827",1950461,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2827"
"SRR5320912","SAMN06456245","PRJNA348753","Bacteroidales bacterium UBA2832",1950462,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2832"
"SRR5320930","SAMN06452422","PRJNA348753","Bacteroidales bacterium UBA2840",1950463,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2840"
"SRR5320937","SAMN06452684","PRJNA348753","Bacteroidales bacterium UBA2861",1950464,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2861"
"SRR5320939","SAMN06452686","PRJNA348753","Bacteroidales bacterium UBA2863",1950465,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2863"
"SRR5320955","SAMN06454118","PRJNA348753","Bacteroidales bacterium UBA2914",1950468,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2914"
"SRR5320962","SAMN06457469","PRJNA348753","Bacteroidales bacterium UBA2884",1950466,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2884"
"SRR5320992","SAMN06454114","PRJNA348753","Bacteroidales bacterium UBA2910",1950467,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2910"
"SRR5321006","SAMN06453246","PRJNA348753","Bacteroidales bacterium UBA2930",1950469,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2930"
"SRR5321009","SAMN06453236","PRJNA348753","Bacteroidales bacterium UBA2933",1950470,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2933"
"SRR5321022","SAMN06453860","PRJNA348753","Bacteroidales bacterium UBA2939",1950471,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2939"
"SRR5321025","SAMN06457874","PRJNA348753","Bacteroidales bacterium UBA2781",1950457,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2781"
"SRR5321026","SAMN06452727","PRJNA348753","Bacteroidales bacterium UBA2800",1950458,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2800"
"SRR5321031","SAMN06450504","PRJNA348753","Bacteroidales bacterium UBA2805",1950459,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2805"
"SRR5321052","SAMN06455014","PRJNA348753","Bacteroidales bacterium UBA3916",1950535,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3916"
"SRR5321091","SAMN06455013","PRJNA348753","Bacteroidales bacterium UBA3911",1950534,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3911"
"SRR5321125","SAMN06451919","PRJNA348753","Bacteroidales bacterium UBA3382",1950482,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3382"
"SRR5321130","SAMN06451913","PRJNA348753","Bacteroidales bacterium UBA3388",1950483,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3388"
"SRR5321131","SAMN06451912","PRJNA348753","Bacteroidales bacterium UBA3389",1950484,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA3389"
"SRR5321206","SAMN06452612","PRJNA348753","Bacteroidales bacterium UBA1374",1950406,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1374"
"SRR5321226","SAMN06452359","PRJNA348753","Bacteroidales bacterium UBA1392",1950407,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1392"
"SRR5321238","SAMN06457162","PRJNA348753","Bacteroidales bacterium UBA1402",1950408,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1402"
"SRR5321247","SAMN06452093","PRJNA348753","Bacteroidales bacterium UBA1410",1950409,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1410"
"SRR5324765","SAMN06452029","PRJNA348753","Bacteroidales bacterium UBA2559",1950446,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA2559"
"SRR5324800","SAMN06454891","PRJNA348753","Bacteroidales bacterium UBA3052",1950472,"Illumina Genome Analyzer II","ILLUMINA","Bacteroidales bacterium UBA3052"
"SRR5324802","SAMN06454894","PRJNA348753","Bacteroidales bacterium UBA3057",1950474,"Illumina Genome Analyzer II","ILLUMINA","Bacteroidales bacterium UBA3057"
"SRR5324803","SAMN06454899","PRJNA348753","Bacteroidales bacterium UBA3058",1950475,"Illumina Genome Analyzer II","ILLUMINA","Bacteroidales bacterium UBA3058"
"SRR5324804","SAMN06454890","PRJNA348753","Bacteroidales bacterium UBA3053",1950473,"Illumina Genome Analyzer II","ILLUMINA","Bacteroidales bacterium UBA3053"
"SRR5324805","SAMN06457416","PRJNA348753","Bacteroidales bacterium UBA1173",1950377,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1173"
"SRR5324807","SAMN06456570","PRJNA348753","Bacteroidales bacterium UBA1197",1950389,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1197"
"SRR5324809","SAMN06456577","PRJNA348753","Bacteroidales bacterium UBA1199",1950390,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1199"
"SRR5324814","SAMN06452496","PRJNA348753","Bacteroidales bacterium UBA1180",1950381,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1180"
"SRR5324815","SAMN06452495","PRJNA348753","Bacteroidales bacterium UBA1181",1950382,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1181"
"SRR5324816","SAMN06454747","PRJNA348753","Bacteroidales bacterium UBA1204",1950391,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1204"
"SRR5324817","SAMN06454748","PRJNA348753","Bacteroidales bacterium UBA1205",1950392,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1205"
"SRR5324820","SAMN06454757","PRJNA348753","Bacteroidales bacterium UBA1208",1950393,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1208"
"SRR5324826","SAMN06452494","PRJNA348753","Bacteroidales bacterium UBA1182",1950383,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1182"
"SRR5324829","SAMN06457297","PRJNA348753","Bacteroidales bacterium UBA1215",1950394,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1215"
"SRR5324830","SAMN06457296","PRJNA348753","Bacteroidales bacterium UBA1216",1950395,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1216"
"SRR5324831","SAMN06457295","PRJNA348753","Bacteroidales bacterium UBA1217",1950396,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1217"
"SRR5324833","SAMN06457307","PRJNA348753","Bacteroidales bacterium UBA1219",1950397,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1219"
"SRR5324838","SAMN06454994","PRJNA348753","Bacteroidales bacterium UBA1223",1950398,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1223"
"SRR5324845","SAMN06454988","PRJNA348753","Bacteroidales bacterium UBA1229",1950399,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1229"
"SRR5324848","SAMN06457549","PRJNA348753","Bacteroidales bacterium UBA1232",1950400,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1232"
"SRR5324851","SAMN06457419","PRJNA348753","Bacteroidales bacterium UBA1176",1950378,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1176"
"SRR5324852","SAMN06452492","PRJNA348753","Bacteroidales bacterium UBA1184",1950384,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1184"
"SRR5324855","SAMN06454619","PRJNA348753","Bacteroidales bacterium UBA1237",1950401,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1237"
"SRR5324866","SAMN06452489","PRJNA348753","Bacteroidales bacterium UBA1187",1950385,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1187"
"SRR5324875","SAMN06457800","PRJNA348753","Bacteroidales bacterium UBA1253",1950402,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1253"
"SRR5324877","SAMN06457413","PRJNA348753","Bacteroidales bacterium UBA1178",1950379,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1178"
"SRR5324880","SAMN06457805","PRJNA348753","Bacteroidales bacterium UBA1256",1950403,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1256"
"SRR5324882","SAMN06452498","PRJNA348753","Bacteroidales bacterium UBA1189",1950386,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1189"
"SRR5324885","SAMN06457414","PRJNA348753","Bacteroidales bacterium UBA1179",1950380,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1179"
"SRR5324892","SAMN06456573","PRJNA348753","Bacteroidales bacterium UBA1192",1950387,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1192"
"SRR5324897","SAMN06457612","PRJNA348753","Bacteroidales bacterium UBA1266",1950404,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1266"
"SRR5324898","SAMN06456568","PRJNA348753","Bacteroidales bacterium UBA1195",1950388,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1195"
"SRR5324917","SAMN06450611","PRJNA348753","Bacteroidales bacterium UBA6680",1950706,"Illumina HiSeq 1000","ILLUMINA","Bacteroidales bacterium UBA6680"
"SRR5325142","SAMN06453693","PRJNA348753","Bacteroidales bacterium UBA714",1950727,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA714"
"SRR5325155","SAMN06453952","PRJNA348753","Bacteroidales bacterium UBA1309",1950405,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1309"
"SRR5325173","SAMN06453555","PRJNA348753","Bacteroidales bacterium UBA1797",1950434,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1797"
"SRR1797305","SAMN02745718","PRJNA196093","Bacteroidales bacterium PSC KfJoeBact1-2",1314823,"Illumina HiSeq 2000","ILLUMINA","Whole Genome Sequencing of Bacteroidales bacterium PSC KfJoeBact1-2"
"SRR1797336","SAMN02745715","PRJNA196092","Bacteroidales bacterium PSC KfJoeBact1-1",1314822,"Illumina HiSeq 2000","ILLUMINA","Whole Genome Sequencing of Bacteroidales bacterium PSC KfJoeBact1-1"
"SRR1797559","SAMN02744876","PRJNA196094","Bacteroidales bacterium PSC KfJoeBact2-1",1314824,"Illumina HiSeq 2000","ILLUMINA","Whole Genome Sequencing of Bacteroidales bacterium PSC KfJoeBact2-1"
"SRR1797571","SAMN02745034","PRJNA196095","Bacteroidales bacterium PSC KfJoeBact2-2",1314825,"Illumina HiSeq 2000","ILLUMINA","Whole Genome Sequencing of Bacteroidales bacterium PSC KfJoeBact2-2"
"SRR1797572","SAMN02745039","PRJNA196096","Bacteroidales bacterium PSC KfJoeBact2-3",1314826,"Illumina HiSeq 2000","ILLUMINA","Whole Genome Sequencing of Bacteroidales bacterium PSC KfJoeBact2-3"
"SRR5324080","SAMN06452304","PRJNA348753","Bacteroidales bacterium UBA2287",1950443,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA2287"
"SRR5324091","SAMN06453052","PRJNA348753","Bacteroidales bacterium UBA5197",1950603,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5197"
"SRR5324099","SAMN06457804","PRJNA348753","Bacteroidales bacterium UBA5204",1950604,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5204"
"SRR5324101","SAMN06456146","PRJNA348753","Bacteroidales bacterium UBA5206",1950605,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5206"
"SRR5324119","SAMN06453305","PRJNA348753","Bacteroidales bacterium UBA4805",1950592,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4805"
"SRR5324122","SAMN06450738","PRJNA348753","Bacteroidales bacterium UBA4772",1950590,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4772"
"SRR5324129","SAMN06454097","PRJNA348753","Bacteroidales bacterium UBA4814",1950593,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4814"
"SRR5324157","SAMN06455483","PRJNA348753","Bacteroidales bacterium UBA4788",1950591,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4788"
"SRR5325697","SAMN06455955","PRJNA348753","Bacteroidales bacterium UBA3143",1950476,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA3143"
"SRR5325719","SAMN06451732","PRJNA348753","Bacteroidales bacterium UBA2632",1950447,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA2632"
"SRR5325789","SAMN06457507","PRJNA348753","Bacteroidales bacterium UBA5882",1950660,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA5882"
"SRR5325790","SAMN06457508","PRJNA348753","Bacteroidales bacterium UBA5883",1950661,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA5883"
"SRR5325797","SAMN06457506","PRJNA348753","Bacteroidales bacterium UBA5889",1950662,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA5889"
"SRR5325806","SAMN06454717","PRJNA348753","Bacteroidales bacterium UBA5898",1950663,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA5898"
"SRR5325829","SAMN06454765","PRJNA348753","Bacteroidales bacterium UBA6445",1950702,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA6445"
"SRR5325834","SAMN06453290","PRJNA348753","Bacteroidales bacterium UBA6431",1950699,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA6431"
"SRR5325835","SAMN06453287","PRJNA348753","Bacteroidales bacterium UBA6432",1950700,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA6432"
"SRR5325841","SAMN06453284","PRJNA348753","Bacteroidales bacterium UBA6437",1950701,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA6437"
"SRR5325843","SAMN06453826","PRJNA348753","Bacteroidales bacterium UBA6426",1950697,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA6426"
"SRR5325847","SAMN06453815","PRJNA348753","Bacteroidales bacterium UBA6428",1950698,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA6428"
"SRR5325849","SAMN06453538","PRJNA348753","Bacteroidales bacterium UBA6401",1950693,"Illumina HiSeq 2500","ILLUMINA","Bacteroidales bacterium UBA6401"
"SRR5325177","SAMN06453210","PRJNA348753","Bacteroidales bacterium UBA1800",1950435,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1800"
"SRR5325179","SAMN06455220","PRJNA348753","Bacteroidales bacterium UBA1794",1950433,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA1794"
"SRR5325190","SAMN06453742","PRJNA348753","Bacteroidales bacterium UBA4133",1950539,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA4133"
"SRR5325236","SAMN06450894","PRJNA348753","Bacteroidales bacterium UBA4182",1950546,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4182"
"SRR5325237","SAMN06450895","PRJNA348753","Bacteroidales bacterium UBA4183",1950547,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4183"
"SRR5325239","SAMN06454259","PRJNA348753","Bacteroidales bacterium UBA4176",1950542,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4176"
"SRR5325241","SAMN06454262","PRJNA348753","Bacteroidales bacterium UBA4173",1950540,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4173"
"SRR5325242","SAMN06454257","PRJNA348753","Bacteroidales bacterium UBA4174",1950541,"Illumina MiSeq","ILLUMINA","Bacteroidales bacterium UBA4174"
"SRR5326857","SAMN06454387","PRJNA348753","Bacteroidales bacterium UBA5349",1950624,"Illumina HiSeq 2000","ILLUMINA","Bacteroidales bacterium UBA5349"
"SRR27371265","SAMN38510998","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.5.591"
"SRR27371245","SAMN38510746","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.11.572"
"SRR27371241","SAMN38510947","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.3.583"
"SRR27371229","SAMN38510958","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.3.606"
"SRR27371215","SAMN38510970","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.4.581"
"SRR27371213","SAMN38510972","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.4.584"
"SRR27371202","SAMN38510982","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.4.605"
"SRR27371698","SAMN38511103","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.9.592"
"SRR27371686","SAMN38511114","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.9.607"
"SRR27371685","SAMN38511115","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.9.608"
"SRR27371663","SAMN38511030","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.6.603"
"SRR27371660","SAMN38511033","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.6.606"
"SRR27371645","SAMN38511083","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.8.604"
"SRR27371628","SAMN38511099","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.9.587"
"SRR27371606","SAMN38511053","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.7.593"
"SRR27371602","SAMN38511057","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.7.600"
"SRR27371599","SAMN38511006","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.5.606"
"SRR27371598","SAMN38511060","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.7.603"
"SRR27371597","SAMN38511061","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.7.604"
"SRR27371590","SAMN38511068","PRJNA1046573","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","bin.8.572"
"SRR28905984","SAMN41220769","PRJNA1108008","Bacteroidales bacterium",2030927,"Illumina NovaSeq 6000","ILLUMINA","16S of enrichment culture: petroleum environment"
"SRR29396153","SAMN41798050","PRJNA1121416","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","soil sample"
"SRR29396152","SAMN41798051","PRJNA1121416","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","soil sample"
"SRR29396099","SAMN41797942","PRJNA1121416","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","soil sample"
"SRR29396085","SAMN41797987","PRJNA1121416","Bacteroidales bacterium",2030927,"Illumina HiSeq 4000","ILLUMINA","soil sample"
