sequence_id,phage_id,pident,algn_length,mismatch,gapopen,phagestart,phageend,phagelength,evalue,bitscore,phage_cg,phage_taxonomy,phage_completeness,phage_host,phage_lifestyle,phage_source
ERZ947580@59_sp1,IMGVR_UViG_3300045988_160093|3300045988|Ga0495776_014804,96.552,29,1,0,11472,11444,72353,0.000281,50.1,44.09215927466726,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
ERZ947580@59_sp1,MGV-GENOME-0346322,96.552,29,1,0,52685,52657,72353,0.000281,50.1,44.06451702071787,Caudovirales,Complete,Prevotella,virulent,MGV
ERZ947580@59_sp1,MGV-GENOME-0346320,96.552,29,1,0,11472,11444,72353,0.000281,50.1,44.09215927466726,Caudovirales,Complete,Prevotella,virulent,MGV
ERZ940792@140_sp1,MGV-GENOME-0377397,93.333,30,2,0,148611,148582,165676,0.017,44.1,33.835317124990944,Caudovirales,High-quality,Prevotella,virulent,MGV
ERZ940792@140_sp1,uvig_88390,93.333,30,2,0,105811,105840,172104,0.017,44.1,34.39722493376098,Caudovirales,High-quality,Prevotella copri,virulent,GPD
ERZ940792@140_sp1,MGV-GENOME-0378057,93.333,30,2,0,21865,21836,174766,0.017,44.1,34.79051989517412,Caudovirales,Complete,Prevotella,virulent,MGV
ERZ940792@140_sp1,IMGVR_UViG_3300045988_120048|3300045988|Ga0495776_015034,93.333,30,2,0,21865,21836,174766,0.017,44.1,34.79051989517412,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
ERZ940792@140_sp1,IMGVR_UViG_3300045988_082400|3300045988|Ga0495776_101678,93.333,30,2,0,148611,148582,165676,0.017,44.1,33.835317124990944,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ940792@140_sp1,IMGVR_UViG_3300045988_073177|3300045988|Ga0495776_101677,93.333,30,2,0,140113,140142,165660,0.017,44.1,33.836170469636606,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ940792@140_sp1,IMGVR_UViG_3300045988_129289|3300045988|Ga0495776_119657,93.333,30,2,0,114523,114494,169542,0.017,44.1,34.72001038090857,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ940792@140_sp1,IMGVR_UViG_3300045988_110911|3300045988|Ga0495776_119656,93.333,30,2,0,55014,55043,169536,0.017,44.1,34.720649301623254,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ940792@140_sp1,IMGVR_UViG_3300045988_129507|3300045988|Ga0495776_137358,93.333,30,2,0,24530,24501,174709,0.017,44.1,34.792140072921256,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ940792@140_sp1,IMGVR_UViG_3300045988_124152|3300045988|Ga0495776_101598,93.333,30,2,0,157802,157831,163629,0.017,44.1,34.69678357748321,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ940792@140_sp2,MGV-GENOME-0362548,93.333,30,2,0,78740,78711,95113,0.017,44.1,32.97866747973463,Caudovirales,High-quality,Prevotella,virulent,MGV
ERZ940792@140_sp2,IMGVR_UViG_3300045988_062669|3300045988|Ga0495776_114915,93.333,30,2,0,78740,78711,95113,0.017,44.1,32.97866747973463,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ940792@140_sp2,SAMN10080925_a1_ct21550_vs1,90.0,30,3,0,75940,75911,78512,4.2,36.2,32.80772366007744,-,Medium-quality,Erysipelotrichaceae,virulent,CHVD
ERZ940792@140_sp2,SRR7892487_NODE_2_length_59444_cov_57.794036,90.0,30,3,0,56872,56843,59444,4.2,36.2,33.16903303949936,Caudovirales,Medium-quality,Prevotella copri,virulent,GVD
ERZ940792@140_sp3,MGV-GENOME-0359705,96.667,30,1,0,64707,64678,90415,7.11e-05,52.0,28.95758447160317,,Complete,Prevotella,virulent,MGV
ERZ940792@140_sp3,IMGVR_UViG_3300045988_056679|3300045988|Ga0495776_010798,96.667,30,1,0,64707,64678,90415,7.11e-05,52.0,28.95758447160317,Crassvirales,Complete,Prevotella,virulent,IMG_VR
ERZ940792@140_sp3,uvig_127083,96.667,30,1,0,64707,64678,90415,7.11e-05,52.0,28.95758447160317,,Complete,Prevotella copri,virulent,GPD
ERZ940792@70_sp5,MGV-GENOME-0337090,100.0,30,0,0,21337,21308,63318,2.92e-07,60.0,46.547585204839066,Caudovirales,High-quality,Bacteroidaceae,virulent,MGV
ERZ940792@70_sp5,MGV-GENOME-0179861,100.0,30,0,0,6955,6926,24644,2.92e-07,60.0,47.35838337932154,Caudovirales,Medium-quality,Prevotellamassilia,virulent,MGV
ERZ940792@70_sp5,MGV-GENOME-0359781,100.0,30,0,0,2071,2042,65621,2.92e-07,60.0,45.63782935340821,Caudovirales,High-quality,Bacteroidaceae,virulent,MGV
ERZ940792@70_sp5,MGV-GENOME-0345071,100.0,30,0,0,7076,7047,46415,2.92e-07,60.0,47.87245502531509,Caudovirales,High-quality,Bacteroidaceae,virulent,MGV
ERZ940792@70_sp5,MGV-GENOME-0315226,100.0,30,0,0,8315,8286,50086,2.92e-07,60.0,47.80777063450864,Caudovirales,High-quality,Bacteroidaceae,virulent,MGV
ERZ940792@70_sp5,MGV-GENOME-0310796,100.0,30,0,0,6645,6616,50186,2.92e-07,60.0,47.67066512573228,Caudovirales,High-quality,Bacteroidaceae,virulent,MGV
ERZ940792@70_sp5,MGV-GENOME-0185219,100.0,30,0,0,7014,6985,25472,2.92e-07,60.0,47.61699120603015,Caudovirales,Medium-quality,Bacteroidaceae,virulent,MGV
ERZ940792@70_sp5,IMGVR_UViG_3300029454_000125|3300029454|Ga0244180_100193|330-48118,100.0,30,0,0,6498,6469,47789,2.92e-07,60.0,47.80598045575341,Caudoviricetes,High-quality,Bacteroidaceae,temperate,IMG_VR
ERZ940792@70_sp5,IMGVR_UViG_3300045988_109343|3300045988|Ga0495776_156015,100.0,30,0,0,7076,7047,46415,2.92e-07,60.0,47.87245502531509,Caudoviricetes,High-quality,Bacteroidaceae,virulent,IMG_VR
ERZ940792@70_sp5,IMGVR_UViG_3300045988_115395|3300045988|Ga0495776_057924,100.0,30,0,0,8458,8429,50613,2.92e-07,60.0,47.69723193645901,Caudoviricetes,High-quality,Bacteroidaceae,virulent,IMG_VR
ERZ940802@62_sp2,Rampelli_SM_37_NODE_47_length_78186_cov_6.281002,93.103,29,2,0,68509,68481,78186,0.069,42.1,45.39559511933083,Caudovirales,High-quality,Bacteroidaceae,virulent,GVD
ERZ940802@62_sp2,MGV-GENOME-0319510,93.103,29,2,0,44267,44239,52746,0.069,42.1,45.99211314602055,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ940802@62_sp2,uvig_311840,93.103,29,2,0,3738,3710,66719,0.069,42.1,47.77649545107091,Caudovirales,Medium-quality,Parabacteroides merdae,virulent,GPD
ERZ940802@62_sp2,uvig_365860,93.103,29,2,0,9678,9706,76535,0.069,42.1,45.404063500359314,Caudovirales,High-quality,Prevotella stercorea,virulent,GPD
ERZ940802@62_sp2,Ma_2019_SRR413636_NODE_69_length_86366_cov_29.612158,90.0,30,3,0,78080,78109,86366,4.2,36.2,43.44302155940996,Caudovirales,Complete,Bacteroidaceae,virulent,GVD
ERZ940802@62_sp2,MGV-GENOME-0294143,90.0,30,3,0,42847,42818,45192,4.2,36.2,43.05408036820676,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ940802@62_sp2,uvig_471695,90.0,30,3,0,7350,7321,19707,4.2,36.2,40.696199320038566,Caudovirales,Low-quality,Prevotella copri,virulent,GPD
ERZ940802@62_sp2,uvig_469142,90.0,30,3,0,8087,8116,11126,4.2,36.2,41.7580442207442,Caudovirales,Low-quality,Prevotella copri,virulent,GPD
ERZ940802@62_sp2,IMGVR_UViG_3300045988_125866|3300045988|Ga0495776_008541,90.0,30,3,0,31524,31495,84337,4.2,36.2,43.27993644545099,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
ERZ940802@62_sp2,IMGVR_UViG_3300045988_110089|3300045988|Ga0495776_008523,90.0,30,3,0,8409,8438,84271,4.2,36.2,43.272300079505406,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
ERZ940828@6_sp2,MGV-GENOME-0356354,100.0,30,0,0,15996,16025,85616,2.92e-07,60.0,30.20930667165016,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ940828@6_sp2,uvig_87762,100.0,30,0,0,10684,10713,56873,2.92e-07,60.0,31.17648093119758,Caudovirales,Low-quality,Prevotella copri,virulent,GPD
ERZ940828@6_sp3,MGV-GENOME-0356354,90.0,30,3,0,11918,11947,85616,4.2,36.2,30.20930667165016,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ940828@6_sp3,uvig_87762,90.0,30,3,0,6606,6635,56873,4.2,36.2,31.17648093119758,Caudovirales,Low-quality,Prevotella copri,virulent,GPD
ERZ940828@6_sp4,MGV-GENOME-0376491,93.333,30,2,0,2921,2892,155696,0.017,44.1,29.297477134929608,Caudovirales,Complete,Prevotella,virulent,MGV
ERZ940828@6_sp7,MGV-GENOME-0373132,100.0,30,0,0,94195,94224,112984,2.92e-07,60.0,35.51564823337818,Caudovirales,High-quality,Prevotella,virulent,MGV
ERZ940828@6_sp7,IMGVR_UViG_3300045988_104821|3300045988|Ga0495776_151016,100.0,30,0,0,94195,94224,112984,2.92e-07,60.0,35.51564823337818,Crassvirales,High-quality,UBA660,virulent,IMG_VR
ERZ940828@6_sp7,IMGVR_UViG_3300045988_096781|3300045988|Ga0495776_150900,100.0,30,0,0,18934,18905,112136,2.92e-07,60.0,35.78600984518799,Crassvirales,High-quality,Bacteroidaceae,virulent,IMG_VR
ERZ940828@6_sp7,MGV-GENOME-0372801,100.0,30,0,0,18934,18905,112136,2.92e-07,60.0,35.78600984518799,Caudovirales,High-quality,Prevotella,virulent,MGV
ERZ940828@6_sp7,MGV-GENOME-0351720,96.667,30,1,0,75445,75474,76979,7.11e-05,52.0,33.636446303537326,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ940828@6_sp7,MGV-GENOME-0351720,93.333,30,2,0,36554,36583,76979,0.017,44.1,33.636446303537326,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ940828@6_sp7,MGV-GENOME-0351082,96.667,30,1,0,74863,74892,78747,7.11e-05,52.0,33.64699607604099,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ940828@6_sp7,MGV-GENOME-0351082,93.333,30,2,0,35972,36001,78747,0.017,44.1,33.64699607604099,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ940828@6_sp7,MGV-GENOME-0367609,93.333,30,2,0,226,255,101679,0.017,44.1,36.9683022059619,Caudovirales,High-quality,UBA4372,virulent,MGV
ERZ940828@6_sp7,uvig_58079,93.333,30,2,0,18342,18313,131102,0.017,44.1,38.44563774770789,Caudovirales,Medium-quality,Lawsonia intracellularis,virulent,GPD
ERZ940828@6_sp7,IMGVR_UViG_3300045988_159113|3300045988|Ga0495776_005786,93.333,30,2,0,129894,129865,193723,0.017,44.1,38.95097639412976,Caudoviricetes,Complete,UBA4372,virulent,IMG_VR
ERZ940828@6_sp7,IMGVR_UViG_3300045988_070592|3300045988|Ga0495776_119745,93.333,30,2,0,206,235,173075,0.017,44.1,43.33670374115268,Crassvirales,High-quality,UBA4372,virulent,IMG_VR
ERZ940828@6_sp8,SAMEA2738096_b1_ct1_vs3,90.0,30,3,0,26622,26651,41000,4.2,36.2,44.64878048780488,Podoviridae,Medium-quality,Prevotella,virulent,CHVD
ERZ940865@59_sp2,MGV-GENOME-0079100,100.0,31,0,0,12713,12683,13902,8.12e-08,61.9,29.83024025320098,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0079100,96.774,31,1,0,13115,13085,13902,1.98e-05,54.0,29.83024025320098,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0079100,96.774,31,1,0,13503,13473,13902,1.98e-05,54.0,29.83024025320098,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0078829,100.0,31,0,0,12703,12673,13879,8.12e-08,61.9,29.814828157648243,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0078829,96.774,31,1,0,13105,13075,13879,1.98e-05,54.0,29.814828157648243,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0078829,96.774,31,1,0,13493,13463,13879,1.98e-05,54.0,29.814828157648243,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0078520,100.0,31,0,0,12703,12673,13853,8.12e-08,61.9,29.84191149931423,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0078520,96.774,31,1,0,13105,13075,13853,1.98e-05,54.0,29.84191149931423,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0060222,100.0,31,0,0,11382,11352,12511,8.12e-08,61.9,29.494045240188637,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0060222,96.774,31,1,0,11784,11754,12511,1.98e-05,54.0,29.494045240188637,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,MGV
ERZ940865@59_sp2,uvig_219547,100.0,31,0,0,6918,6888,14548,8.12e-08,61.9,36.47924113280176,Caudovirales,Medium-quality,Coprococcus catus,virulent,GPD
ERZ940865@59_sp2,uvig_105351,100.0,31,0,0,12677,12647,14022,8.12e-08,61.9,30.07416916274426,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,GPD
ERZ940865@59_sp2,uvig_105351,100.0,31,0,0,13436,13406,14022,8.12e-08,61.9,30.07416916274426,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,GPD
ERZ940865@59_sp2,uvig_105351,96.774,31,1,0,13079,13049,14022,1.98e-05,54.0,30.07416916274426,Caudovirales,Medium-quality,Ruminococcus callidus,virulent,GPD
ERZ940865@59_sp2,MGV-GENOME-4340079,100.0,31,0,0,17080,17050,17383,8.12e-08,61.9,34.458954150606914,,High-quality,Holdemanella,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0125497,100.0,31,0,0,17492,17462,17745,8.12e-08,61.9,34.522400676246825,,High-quality,Holdemanella,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0118446,100.0,31,0,0,16660,16630,17111,8.12e-08,61.9,40.75740751563322,,High-quality,Streptococcus agalactiae,virulent,MGV
ERZ940865@59_sp2,MGV-GENOME-0115289,100.0,31,0,0,16562,16532,16834,8.12e-08,61.9,40.62017345847689,,Medium-quality,Streptococcus agalactiae,virulent,MGV
ERZ941977@8_sp4,SAMEA2580017_b1_ct5_vs2,90.0,30,3,0,28195,28224,67600,4.2,36.2,39.44970414201183,Podoviridae,Medium-quality,Prevotella,virulent,CHVD
ERZ941977@8_sp4,uvig_217565,90.0,30,3,0,10014,10043,31655,4.2,36.2,39.16284947085769,Caudovirales,Low-quality,Bacteroides dorei,virulent,GPD
ERZ941977@8_sp4,MGV-GENOME-0343281,90.0,30,3,0,2266,2295,61166,4.2,36.2,41.75358859497106,Caudovirales,High-quality,Bacteroides,virulent,MGV
ERZ941998@44_sp10,SAMEA2580017_b1_ct5_vs2,90.0,30,3,0,28195,28224,67600,4.2,36.2,39.44970414201183,Podoviridae,Medium-quality,Prevotella,virulent,CHVD
ERZ941998@44_sp10,uvig_217565,90.0,30,3,0,10014,10043,31655,4.2,36.2,39.16284947085769,Caudovirales,Low-quality,Bacteroides dorei,virulent,GPD
ERZ941998@44_sp10,MGV-GENOME-0343281,90.0,30,3,0,2266,2295,61166,4.2,36.2,41.75358859497106,Caudovirales,High-quality,Bacteroides,virulent,MGV
ERZ942001@1_sp2,IMGVR_UViG_3300011982_000014|3300011982|Ga0119773_1002155,96.667,30,1,0,5481,5510,6298,7.11e-05,52.0,40.12384884090187,Microviridae,Complete,Prevotella,virulent,IMG_VR
ERZ942001@1_sp3,OTU_4174,90.0,30,3,0,7551,7522,28571,4.2,36.2,53.68730530957965,Hannahviridae,Medium-quality,Prevotella,virulent,IGVD
ERZ942001@1_sp8,OTU_841,100.0,30,0,0,14126,14097,56445,2.92e-07,60.0,46.98024625741873,Bertilviridae,Medium-quality,Prevotella,virulent,IGVD
ERZ942001@1_sp9,IMGVR_UViG_3300028539_000040|3300028539|Ga0307855_138,96.667,30,1,0,33930,33959,44553,7.11e-05,52.0,42.92640226247391,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ942001@1_sp9,IMGVR_UViG_3300022580_000040|3300022580|Ga0248024_113,96.667,30,1,0,33930,33959,44553,7.11e-05,52.0,42.92640226247391,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ942001@1_sp9,IMGVR_UViG_3300019468_000045|3300019468|Ga0197713_10004,96.667,30,1,0,33930,33959,44553,7.11e-05,52.0,42.92640226247391,Caudoviricetes,High-quality,Prevotella,virulent,IMG_VR
ERZ942001@1_sp9,MGV-GENOME-0220234,93.333,30,2,0,22379,22350,31594,0.017,44.1,45.69222004178008,Caudovirales,Medium-quality,Prevotella,virulent,MGV
ERZ942001@1_sp9,MGV-GENOME-0353118,93.333,30,2,0,789,818,34635,0.017,44.1,43.56575718204129,Caudovirales,Medium-quality,Bacteroides fragilis,virulent,MGV
ERZ942001@1_sp9,MGV-GENOME-0313076,93.333,30,2,0,35266,35237,36792,0.017,44.1,42.59078060447924,Caudovirales,Medium-quality,Parabacteroides distasonis,virulent,MGV
ERZ942001@1_sp9,IMGVR_UViG_3300008636_000155|3300008636|Ga0111420_100085|61064-107867,93.333,30,2,0,7968,7997,46804,0.017,44.1,43.23134774805572,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
ERZ942001@1_sp9,IMGVR_UViG_3300007300_000203|3300007300|Ga0104843_100010|102456-144260,93.333,30,2,0,8274,8303,41805,0.017,44.1,43.1024997009927,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
ERZ942001@1_sp9,IMGVR_UViG_3300007297_000173|3300007297|Ga0104793_100023|65320-111091,93.333,30,2,0,8269,8298,45772,0.017,44.1,43.07436860963034,Caudoviricetes,High-quality,Prevotella,temperate,IMG_VR
ERZ942001@1_sp11,SAMEA2579955_b1_ct2_vs5,100.0,30,0,0,25034,25063,51350,2.92e-07,60.0,50.6952288218111,Siphoviridae,High-quality,Prevotella,temperate,CHVD
ERZ942001@1_sp11,MGV-GENOME-0250011,100.0,30,0,0,25248,25219,36742,2.92e-07,60.0,51.24652985683959,Caudovirales,Medium-quality,Prevotella,temperate,MGV
ERZ959894@46_sp1,IMGVR_UViG_3300045988_159003|3300045988|Ga0495776_014805,96.552,29,1,0,52685,52657,72353,0.000281,50.1,44.06451702071787,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
ERZ959894@46_sp1,IMGVR_UViG_3300045988_160093|3300045988|Ga0495776_014804,96.552,29,1,0,11472,11444,72353,0.000281,50.1,44.09215927466726,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
ERZ959894@46_sp1,MGV-GENOME-0346322,96.552,29,1,0,52685,52657,72353,0.000281,50.1,44.06451702071787,Caudovirales,Complete,Prevotella,virulent,MGV
ERZ959894@46_sp1,MGV-GENOME-0346320,96.552,29,1,0,11472,11444,72353,0.000281,50.1,44.09215927466726,Caudovirales,Complete,Prevotella,virulent,MGV
ERZ960010@7_sp6,IMGVR_UViG_3300045988_159003|3300045988|Ga0495776_014805,96.552,29,1,0,52657,52685,72353,0.000281,50.1,44.06451702071787,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
ERZ960010@7_sp6,IMGVR_UViG_3300045988_160093|3300045988|Ga0495776_014804,96.552,29,1,0,11444,11472,72353,0.000281,50.1,44.09215927466726,Caudoviricetes,Complete,Prevotella,virulent,IMG_VR
ERZ960010@7_sp6,MGV-GENOME-0346322,96.552,29,1,0,52657,52685,72353,0.000281,50.1,44.06451702071787,Caudovirales,Complete,Prevotella,virulent,MGV
ERZ960010@7_sp6,MGV-GENOME-0346320,96.552,29,1,0,11444,11472,72353,0.000281,50.1,44.09215927466726,Caudovirales,Complete,Prevotella,virulent,MGV
ERZ941867@31_sp4,SAMEA2580017_b1_ct5_vs2,90.0,30,3,0,28195,28224,67600,4.2,36.2,39.44970414201183,Podoviridae,Medium-quality,Prevotella,virulent,CHVD
ERZ941867@31_sp4,uvig_217565,90.0,30,3,0,10014,10043,31655,4.2,36.2,39.16284947085769,Caudovirales,Low-quality,Bacteroides dorei,virulent,GPD
ERZ941867@31_sp4,MGV-GENOME-0343281,90.0,30,3,0,2266,2295,61166,4.2,36.2,41.75358859497106,Caudovirales,High-quality,Bacteroides,virulent,MGV
ERZ942233@41_sp10,SAMEA2580017_b1_ct5_vs2,90.0,30,3,0,28195,28224,67600,4.2,36.2,39.44970414201183,Podoviridae,Medium-quality,Prevotella,virulent,CHVD
ERZ942233@41_sp10,uvig_217565,90.0,30,3,0,10014,10043,31655,4.2,36.2,39.16284947085769,Caudovirales,Low-quality,Bacteroides dorei,virulent,GPD
ERZ942233@41_sp10,MGV-GENOME-0343281,90.0,30,3,0,2266,2295,61166,4.2,36.2,41.75358859497106,Caudovirales,High-quality,Bacteroides,virulent,MGV
ERZ941913@10_sp1,SAMEA2580017_b1_ct5_vs2,90.0,30,3,0,28224,28195,67600,4.2,36.2,39.44970414201183,Podoviridae,Medium-quality,Prevotella,virulent,CHVD
ERZ941913@10_sp1,uvig_217565,90.0,30,3,0,10043,10014,31655,4.2,36.2,39.16284947085769,Caudovirales,Low-quality,Bacteroides dorei,virulent,GPD
ERZ941913@10_sp1,MGV-GENOME-0343281,90.0,30,3,0,2295,2266,61166,4.2,36.2,41.75358859497106,Caudovirales,High-quality,Bacteroides,virulent,MGV
ERZ941922@173_sp0,MGV-GENOME-0271979,100.0,29,0,0,29570,29598,37033,1.15e-06,58.0,42.68895309588745,,Medium-quality,Parabacteroides,virulent,MGV
ERZ941922@173_sp0,MGV-GENOME-0209486,100.0,29,0,0,29570,29598,29653,1.15e-06,58.0,43.13560179408491,,Medium-quality,Parabacteroides,virulent,MGV
ERZ941922@173_sp0,MGV-GENOME-0228990,100.0,29,0,0,16671,16699,33119,1.15e-06,58.0,46.79489115009511,,Medium-quality,Parabacteroides,virulent,MGV
ERZ941922@173_sp0,MGV-GENOME-0176733,100.0,29,0,0,17520,17548,24180,1.15e-06,58.0,43.03143093465674,,Medium-quality,Parabacteroides,virulent,MGV
ERZ941922@173_sp0,IMGVR_UViG_3300029051_000279|3300029051|Ga0169669_100345|3-38325,100.0,29,0,0,10952,10924,38323,1.15e-06,58.0,44.12232862771704,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp0,IMGVR_UViG_3300023479_000148|3300023479|Ga0257034_10238|2-38377,100.0,29,0,0,10998,10970,38376,1.15e-06,58.0,44.105691056910565,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp0,IMGVR_UViG_3300045988_174745|3300045988|Ga0495776_045023,100.0,29,0,0,16327,16299,37435,1.15e-06,58.0,46.75838119406972,Caudoviricetes,High-quality,Parabacteroides,virulent,IMG_VR
ERZ941922@173_sp0,MGV-GENOME-0254084,100.0,29,0,0,16327,16299,37435,1.15e-06,58.0,46.75838119406972,,High-quality,Parabacteroides,virulent,MGV
ERZ941922@173_sp1,IMGVR_UViG_3300029051_000279|3300029051|Ga0169669_100345|3-38325,100.0,30,0,0,10822,10793,38323,2.92e-07,60.0,44.12232862771704,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp1,IMGVR_UViG_3300023479_000148|3300023479|Ga0257034_10238|2-38377,100.0,30,0,0,10933,10904,38376,2.92e-07,60.0,44.105691056910565,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp1,MGV-GENOME-0271979,100.0,30,0,0,29767,29796,37033,2.92e-07,60.0,42.68895309588745,,Medium-quality,Parabacteroides,virulent,MGV
ERZ941922@173_sp1,MGV-GENOME-0176733,100.0,30,0,0,17651,17680,24180,2.92e-07,60.0,43.03143093465674,,Medium-quality,Parabacteroides,virulent,MGV
ERZ941922@173_sp2,MGV-GENOME-0338122,100.0,30,0,0,4367,4338,64120,2.92e-07,60.0,43.36712414223331,Caudovirales,High-quality,Parabacteroides,virulent,MGV
ERZ941922@173_sp2,uvig_570068,100.0,30,0,0,11250,11221,37384,2.92e-07,60.0,41.59265996148085,Caudovirales,Medium-quality,Parabacteroides distasonis,virulent,GPD
ERZ941922@173_sp2,IMGVR_UViG_3300029051_000279|3300029051|Ga0169669_100345|3-38325,100.0,30,0,0,10756,10727,38323,2.92e-07,60.0,44.12232862771704,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp2,IMGVR_UViG_3300008705_000304|3300008705|Ga0113869_1000026|101940-161726,100.0,30,0,0,11097,11068,59787,2.92e-07,60.0,43.05952799103484,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp2,IMGVR_UViG_3300008733_000214|3300008733|Ga0115617_100109|14779-83814,100.0,30,0,0,11157,11128,69036,2.92e-07,60.0,43.19920041717365,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp2,IMGVR_UViG_3300029772_000274|3300029772|Ga0245166_100040|86065-144696,100.0,30,0,0,6953,6924,58632,2.92e-07,60.0,42.74457634056488,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp2,IMGVR_UViG_3300023479_000148|3300023479|Ga0257034_10238|2-38377,100.0,30,0,0,10867,10838,38376,2.92e-07,60.0,44.105691056910565,Caudoviricetes,High-quality,Parabacteroides,temperate,IMG_VR
ERZ941922@173_sp2,IMGVR_UViG_7000000040_000019|7000000040|SRS043411_WUGC_scaffold_17342,100.0,30,0,0,2602,2573,54502,2.92e-07,60.0,43.76169681846538,Caudoviricetes,High-quality,Parabacteroides,virulent,IMG_VR
ERZ941922@173_sp2,IMGVR_UViG_3300045988_100662|3300045988|Ga0495776_005896,100.0,30,0,0,22835,22806,47457,2.92e-07,60.0,42.261415597277534,Caudoviricetes,Complete,Parabacteroides,virulent,IMG_VR
ERZ941922@173_sp2,IMGVR_UViG_3300045988_100398|3300045988|Ga0495776_093442,100.0,30,0,0,2804,2775,54146,2.92e-07,60.0,43.87951095187087,Caudoviricetes,High-quality,Parabacteroides,virulent,IMG_VR
ERZ941922@173_sp3,TemPhD_cluster_45523,100.0,30,0,0,69679,69708,91714,2.92e-07,60.0,42.85278147283948,Caudovirales,Medium-quality,Bacteroides ovatus,temperate,TEMPHD
ERZ941922@173_sp3,TemPhD_cluster_54841,100.0,30,0,0,69670,69699,91705,2.92e-07,60.0,42.85262526579794,Caudovirales,Medium-quality,Bacteroides ovatus,temperate,TEMPHD
ERZ941922@173_sp3,TemPhD_cluster_39014,100.0,30,0,0,64032,64061,86067,2.92e-07,60.0,43.1210568510579,Caudovirales,Medium-quality,Bacteroides vulgatus,temperate,TEMPHD
ERZ941922@173_sp3,TemPhD_cluster_39013,100.0,30,0,0,64033,64062,86068,2.92e-07,60.0,43.115908351536,Caudovirales,Medium-quality,Bacteroides ovatus,temperate,TEMPHD
ERZ941922@173_sp3,IMGVR_UViG_3300029796_000484|3300029796|Ga0243875_1000243|37-52557,100.0,30,0,0,313,342,52521,2.92e-07,60.0,49.80864796938367,Caudoviricetes,High-quality,Bacteroidales,temperate,IMG_VR
